Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
Songs of Gebirtig and Warshavsky,LP 520497,,Susan Goldberg; Peter Schlosser,Doyres Records,"33 1/3 RPM - 12"""
Songs of Glinka,36133,,Alexandre Labinsky,Angel Records,"33 1/3 RPM - 12"""
Songs of H. N. Bialik,BAN 14423,,Shlomo Arzi,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Ha-noar Ha-oved,BAN14835,,The Orchestra of Kol Israeel,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Her People,R-172,,Edith Gordon,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs of Holocaust and Heroism,103,,Cantor Louis Danto,Cadenza Records,CD
Songs of Holocaust and Heroism sung by Louis Danto,LR 103,,Louis Danto,Cadenza Records,"33 1/3 RPM - 12"""
Songs of Hope,LP 3,,Abraham Wilkemirsky; Shoshana Shoshan; et.al.,Israel,"33 1/3 RPM - 10"""
Songs of Israel,TW 91405,,Mirjam & Stephen,London,"33 1/3 RPM - 12"""
Songs of Israel,T 136,,Jo Amar,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs of Israel,VZL 265/266,,Ze'ev Havatselet; Shoshana Damari,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel,DL 8937,,Hanna Ahroni,Decca,"33 1/3 RPM - 12"""
Songs of Israel,MFS 364,,Rakhel Hadass,"Monitor Recordings, Inc.","33 1/3 RPM - 12"""
Songs of Israel,VZL 203/204,,Unknown; Benny Berman,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel,WL 165,,The Dudaim,Columbia,"33 1/3 RPM - 12"""
Songs of Israel,FW 6847,,Hillel and Aviva,Folkways Ethnic Records,"33 1/3 RPM - 10"""
Songs of Israel,LPM 3197,,Sidor Belarsky,RCA Victor,"33 1/3 RPM - 10"""
Songs of Israel,LPS 1380,,Paul Sheldon,Dominion,"33 1/3 RPM - 12"""
Songs of Israel,H 1511,,Hillel and Aviva,Concert Hall Society,"33 1/3 RPM - 12"""
Songs of Israel,DL 78937,,Hanna Ahroni,Decca,"33 1/3 RPM - 12"""
Songs of Israel,VZL 203/204,,Unknown; Benny Berman,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel,MG 25073,,unknown,Mercury Publications,"33 1/3 RPM - 10"""
Songs of Israel,AIR-203,,Zadikov Choir of Israel,Audio International,"33 1/3 RPM - 12"""
Songs of Israel,S 63306,,Shoshana Damari,CBS,"33 1/3 RPM - 12"""
Songs of Israel,311023,,Rika Zarai,Belair,"33 1/3 RPM - 12"""
Songs of Israel,TI-1975,,Cantor Murray E. Simon,Temple Israel,"33 1/3 RPM - 12"""
Songs of Israel,FP 847,,Hillel and Aviva,Folkways Ethnic Records,"33 1/3 RPM - 10"""
Songs of Israel,CBS -63306-4,,Shoshana Damari,CBS,Cassette tape
Songs of Israel,MF 364,,Rakhel Hadass,"Monitor Recordings, Inc.","33 1/3 RPM - 12"""
Songs of Israel,06847,,Hillel and Aviva,Smithsonian Institution,Cassette tape
Songs of Israel,T-10091,,Lea Deganith [with Paul Lichtenstern & Orchestra],Capitol Records,"33 1/3 RPM - 12"""
Songs of Israel,SW 99405,,Mirijam & Stephen,London,"33 1/3 RPM - 12"""
Songs of Israel,B 105,,Sidor Belarsky,Artistic Enterprises,"33 1/3 RPM - 12"""
"Songs of Israel ""Letters"" / Songs of Israel ""You""",VZL 513/4,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel - My Jerusalem / A Program on the Dead Sea,VZL 437/438,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel - The Galil [stet. Jerusalem - Undevided] / Water Development in Israel [stet. Songs of Israel - The Galil,VZL 355/356,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / 50 Years of the Hebrew University in Jerusalem,VZL 413/414,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / A Feature Program on the Jerusalem Youth Band,VZL 375/376,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / A Visit to Kibbutz Sdeh Boker,VZL 367/368,,Itamar; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Hit Songs of Israel,VZL 289/290,,Effie Netzer,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Music of Israel (A Journey of Song Throught the Land),VZL 297/298,,The Sarid Trio; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Sephardic Tunes,VZL 465/466,,Darom Duo; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Songs by Alexander Argov,VZL 455/456,,Ami Shavit; Alexander Argov,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Songs by the Army Entertainment Troupe,VZL 467/468,,Hava Alberstein; Army Entertainment Troupe,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Songs from New Israeli Films,VZL 425/426,,Yossi Barnai ; Israel Gurion; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Songs of the Pioneers,VZL 253/254,,The Parvarim Duo; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Songs of the Young People of Israel,VZL 427/428,,Teumim Trio; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Songs Sung by Ofra Fuchs,VZL 457/458,,Unknown;  Ofra Fuchs,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / Start of the School Year for Israeli and Arab Children,VZL 365/366,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / The Israeli Song Festival,VZL 311/312,,The Amranim; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel / The Nahal Entertainment Troupe,VZL 439/440,,Zvia Abarbanel; Nahal Entertainment Troupe,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel and Many Lands,TLP 1002,,Hillel and Aviva,Tradition Everest,"33 1/3 RPM - 12"""
Songs of Israel and Many Lands,TLP 1002,,Hillel and Aviva,Tradition Everest,"33 1/3 RPM - 12"""
Songs of Israel and Other Places,M-1 / M-2 / M3 /  M4 ,1977,The Feenjon Group,Olive Tree Disc,"33 1/3 RPM - 12"""
Songs of Israel by Nehama Hendel [stet. Water Development in Israel] / The Galil [stet. Jerusalem Undivided] / Water Development in Israel [stet. Songs of Israel - The Galil / Jerusalem - Undevided [stet. Songs of Israel by Nehama Hendel],VZL 357/358,,Unknown; Nahama Hendel,Vistas of Israel,"33 1/3 RPM - 12"""
"Songs of Israel La'emek / Hora Negev, Part 3",3-10091,,Lea Deganith,Capitol Records,45 RPM
"Songs of Israel Nachamu Ami / Hora Mechudeshet, Part 1",1-10091,,Lea Deganith,Capitol Records,45 RPM
Songs of Israel sung in English / A Visit to the Arava,VZL 429/430,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Israel Today,FLP 1351,,Uri Zifroni,Fiesta,"33 1/3 RPM - 12"""
Songs of Israel Today,FLPS 1351,,Uri Zifroni,Fiesta,"33 1/3 RPM - 12"""
Songs of Israel's First Pioneers,S 70041,,Various,CBS,"33 1/3 RPM - 12"""
Songs of Israel's Youth Movements,BAN14469,,Arik Lavie;Ilana Robina;Chanan Juval,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Israel's Youth Movements,8TR-14469,,Arik Lavie; Ilana Robina; Chanan Juval,Hed-Arzi,8-track tape
Songs of Jerusalem,40-63576,,Various,CBS,Cassette tape
Songs of Jerusalem,MC 2208,,various artists,Hataklit,Cassette tape
Songs of Jerusalem,51170,,Various,CBS,"33 1/3 RPM - 12"""
Songs of Jerusalem,S 63576,,Various,CBS,"33 1/3 RPM - 12"""
Songs of Jerusalem,P 11699,,Various,CBS,"33 1/3 RPM - 12"""
Songs of Jerusalem - At Your Gates Yerushalayim,50-50,,various artists,Hed-Ran,"33 1/3 RPM - 12"""
Songs of King David,EL-403,,Shimon & Ilana; Hebrew Baroque Roll Ensemble,Elite Records,"33 1/3 RPM - 12"""
Songs of Labor (Shirai Avodah) - Medley of Folk Songs,102-2A / 105-2B,,United Synagogue Chorus,United Synagogue,"78 RPM - 12"""
Songs of Life…the Music of Chai,CHAI 2,,Sarah Sommer Chai Folk Ensemble,VIP Communications,"33 1/3 RPM - 12"""
Songs of Love & Peace,KA-003,,Jo Amar,Kol Amar,"33 1/3 RPM - 12"""
Songs of Many Lands,LP 101,,Miriam Bernett; Vladimir Heifetz,Artzyan Records,"33 1/3 RPM - 12"""
Songs of Martydom and Hope,22854,,Cantor Isaac Goodfriend,Southernaire Records,"33 1/3 RPM - 12"""
Songs of My Beloved Country,63802,,Chava Alberstein,CBS,"33 1/3 RPM - 12"""
Songs of My Grandfather,,,Sheh-Sheh,Mama-loshn Music,Cassette tape
Songs of My People,AFSD 6199,,Cantor David Jacob,Audio Fidelity,"33 1/3 RPM - 12"""
Songs of My People,MLP 5002,,Cantor Leibele Waldman,Maloh Recording Co.,"33 1/3 RPM - 12"""
Songs of My People,CAL 597,,Yossele Rosenblatt,RCA,"33 1/3 RPM - 12"""
Songs of My People,SP 009,,Cantor Louis Danto,Sound Path Records,"33 1/3 RPM - 12"""
Songs of My People,N70P 3765,,Sarah Fersho,RCA,"33 1/3 RPM - 12"""
Songs of My People,ISR 0006 [CAL-597],,Yossele Rosenblatt,RCA Victor Red Seal,"33 1/3 RPM - 12"""
Songs of My People,LA 1975,,The Fershkos,Private label,Cassette tape
Songs of My People,MALOH- 5002,,Cantor Leibele Waldman,Maloh Recording Co.,Cassette tape
Songs of My People,R 25352,,Tova Ronni,Roulette Records,"33 1/3 RPM - 12"""
Songs of My People,M.L.P.R-18,,Mark and Alice Lipson,Temple Beth Shalom,"33 1/3 RPM - 12"""
Songs of My People,SR 25352,,Tova Ronni,Roulette Records,"33 1/3 RPM - 12"""
Songs of My People,Hx Pro,,Cantor Jeffrey Nadel,Shira Utfilah,Cassette tape
Songs of My People,E-101,,Cantor Moses J. Silverman,MGM,"33 1/3 RPM - 10"""
Songs of My People - Chanukah: B'rohot Shel Chanukah / Maoz Tsur / S'Vivon / Chanukah / Am Yisrael Chai,B-0140-C / B-0140-D,,Belle Robin,Bibletone,"78 RPM - 12"""
Songs of My People - Oneg Shabat: Hatikva / Hine Ma Tov / Shalom Aleychem / Hevenu Shalom Aleychem,B-0140-A / B-0140-B,,Belle Robin,Bibletone,"78 RPM - 12"""
Songs of My People - Pesach: Dayanu / Eliyahu Hanavi / Adir Hu / Lag B'omer: / Lag B'omer,B-0140-E / B-0140-F,,Belle Robin,Bibletone,"78 RPM - 12"""
"Songs of My People, International Songs & Ballads",N70P-3755/6,,Sarah Fershko; Hayim Fershko,RCA Victor,"33 1/3 RPM - 12"""
Songs of My Soul,Z-201,,Rabbi Shlomo Carlebach,Zimray,"33 1/3 RPM - 12"""
Songs of My Soul - Shirei Nafshi,,,Warren David Jacobs,Common Heritage Music,Cassette tape
Songs of Naomi Shemer,BAN 14323,,Naomi Shemer,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Nathan Alterman,80763,,Various,CBS,"33 1/3 RPM - 12"""
Songs of Nathan Alterman / What is a Moshav,VZL 435/436,,Unknown;  Nathan Alterman,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Old and New Tel-Aviv,L.P.  171,,Various,Makolit,"33 1/3 RPM - 10"""
Songs of Old and New Tel-Aviv,L.P. 171,,Various,Makolit,"33 1/3 RPM - 10"""
Songs of Our Fathers,ACD 14,,Andy Statman,Accoustic Disc,CD
Songs of Our Fathers,ACC 14,,Andy Statman and David Grisman,Accoustic Disc,Cassette tape
Songs of Our Past,K 7301,,Marilyn Krimm,Ann Arbor Hadassah,"33 1/3 RPM - 12"""
Songs of Our People,T-23,,Ben Bonus,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs of Our People,MC 1005A/B,,Henry S. Jacobs Camp; Utica; Miss.,Private label,"33 1/3 RPM - 12"""
Songs of Our People,JLP 12,,Ben Bonus,Simcha Procutions,"33 1/3 RPM - 12"""
Songs of Praise,BAN 14351,,Shuly Nathan,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Praise,15751,,Shuly Nathan,Hed-Arzi,CD
Songs of Rabbi Yeshaiahu Shapira,AN 14117,,Israeli Institute of Sacred Music Men Choir,Israeli Institute of Sacred Music,"33 1/3 RPM - 12"""
Songs of Rabbi Yeshaiahu Shapira,405354,,Avraham Fereira,Israeli Institute of Sacred Music,"33 1/3 RPM - 12"""
Songs of Rachel,BAN 14447,,Dorith Reuveni; Hanan Yovel,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Regesh,BB 1801,,Shmuel Brazil,Regesh Production,"33 1/3 RPM - 12"""
"Songs of Riverdale Temple,N.Y.",na,,Brenda Miller ; Margery Mayer,Riverdale Temple,"33 1/3 RPM - 12"""
Songs of Russia Old & New,EKL-185,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
Songs of Russia Old & New,EKS-7185,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
Songs of Shabbat - Learning Program,125D0,,Cantor Paul Dorman,Private label,CD
Songs of Songs,LP 202,,Naomi Zuri,Arzi Records,"33 1/3 RPM - 10"""
Songs of the 6-Day War,6429,,Lillian Lux,CBS,"33 1/3 RPM - 7"""
Songs of the Ages - Cantorial Masterpieces,T-61,,Cantor Shabtai Ackerman,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs of the Baal Shem,UA-0623ST,,Benjamin Siegel,The Union of American Hebrew Congregations,"33 1/3 RPM - 12"""
Songs of the Baal Shem,CGL 637,1964,Chassidic Chorus,Collector's Guild,"33 1/3 RPM - 12"""
Songs of the Bobover Chassidim,CGL 627,1963,Rabbi Laizer Halberstam,Collector's Guild,"33 1/3 RPM - 12"""
Songs of the Bobover Chassidim,CGL 627,,Rabbi Laizer Halberstam,Collector's Guild,"33 1/3 RPM - 12"""
Songs of the Bobover Chassidim,CGL 627,,Rabbi Laizer Halberstam,Collector's Guild,8-track tape
Songs of the Bobover Chassidim - Vol 2,CGL 636,1963,Rabbi Laizer Halberstam,Collector's Guild,"33 1/3 RPM - 12"""
Songs of the Bostoner Rebbe,CGL 639,1964,Rabbi Avraham Horowitz,Collector's Guild,"33 1/3 RPM - 12"""
Songs of the Defenders of Israel,LP 2,,Various,Israel,"33 1/3 RPM - 10"""
Songs of the Earth,EKL-326,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
Songs of the Earth,EKS-7326,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
Songs of the Exodus,KS-3058,,Hillel and the Sons of Galilee,Kapp,"33 1/3 RPM - 12"""
Songs of the Exodus,KL-1174,,Hillel and the Sons of Galilee,Kapp,"33 1/3 RPM - 12"""
Songs of the Fighters-Etzel & Lechi,,,Shulamit Levanit; Leore Yenny; Shminiat Group,The National Academy,CD
Songs of the Gerer Chassidim,LPW-108,,Cantor David Werdyger,Aderet Records,"33 1/3 RPM - 12"""
Songs of the Gerer Chassidim,MEN-214,,Cantor David Werdyger,Menorah,"33 1/3 RPM - 12"""
Songs of the Gerer Chassidim,8-214,,Cantor David Werdyger,Menorah,8-track tape
Songs of the Gerer Chassidim - Volume 2,LPW-105,,Cantor David Werdyger,Aderet Records,"33 1/3 RPM - 12"""
Songs of the Ghetto,FW 8739,,Cantor Abraham Brun,Folkways Ethnic Records,"33 1/3 RPM - 12"""
Songs of the Ghetto - Years of Despair,PCC 221,,Sarah Gorby,Philips,"33 1/3 RPM - 12"""
Songs of the Ghetto - Years of Despair,PCC 621,,Sarah Gorby,Philips,"33 1/3 RPM - 12"""
Songs of the Ghetto and Jewish Folklore,GRC 300,,Ana Vinocur,Greater Recording Co.,Cassette tape
Songs of the Ghetto and Jewish Folklore,GRC 300,,Ana Vinocur,Greater Recording Co.,"33 1/3 RPM - 12"""
Songs of the Ghettos,D 201,,Louis Danto,Da Vinci Records,"33 1/3 RPM - 12"""
Songs of the Ghettos,PRT 14410,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of the Ghettos (English Version),PRT 14586,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of the Haggadah,100143,,Cantor Benjamin Z. Maissner,Private label,CD
Songs of the Heart,808862,,Yechiel Burgin,Israphon,"33 1/3 RPM - 12"""
Songs of the Holidays & Other Songs sung by Gene Bluestein &,FC 7554,,Gene Bluestein,Folkways Ethnic Records,"33 1/3 RPM - 12"""
Songs of the Israeli Pioneers,LEG 112,,Hillel Aviva,Legacy,"33 1/3 RPM - 12"""
Songs of the Israeli Shepherd,MEN-205,,Hillel Raveh,Menorah,"33 1/3 RPM - 12"""
Songs of the Jewish People,LPM 96401,,Roslyn Cooper,Jem Records,"33 1/3 RPM - 12"""
Songs of the Land I Love,81240,,Lea Goldberg,CBS,"33 1/3 RPM - 12"""
Songs of the Lubavitcher Chassidm - Volume 1,S 64029,,Chabad Choir,CBS,"33 1/3 RPM - 12"""
Songs of the Mediterranean,S 63665,,Aris San,CBS,"33 1/3 RPM - 12"""
Songs of the Middle East,S 63968,,Yaffa Yarkoni,CBS,"33 1/3 RPM - 12"""
Songs of the Nahal / A Feature Program on Eilat,VZL 373/374,,The Pioneer Youth Corps of Israel; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs of the Negev,8735,,Geula Gill,Folkways Ethnic Records,"33 1/3 RPM - 12"""
Songs of the Negev / Folk Songs of Israel,VZL 249/250,,Nehama Hendel,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of the Old & Antiquated Land of Israel,14486,,Do-re-U'mi Od,Banner,"33 1/3 RPM - 12"""
Songs of the Old & Antiquated Land of Israel,BAN 14486,,Naomi Polani; Rivka Zohar; Ilana Rovina,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of the Palmach,9099,,Zemer Ran,Studio,"33 1/3 RPM - 12"""
Songs of the Pioneers - Sides 1&2,,,Naomi Levi; Rivca Bracha; Nechama Hendel,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of the Pioneers - Sides 3&4,,,Nehama Hendel; shimeon bar; hadassahsigaloff,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of the Sabras,VSD 2059,,Karmon Israeli Folk Dancers and Singers,Vanguard,"33 1/3 RPM - 12"""
Songs of the Sabras,VSD 2059,,Karmon Israeli Folk Dancers and Singers,Vanguard,"33 1/3 RPM - 12"""
Songs of the Sabras,AN 64-12,,Karmon Israeli Folk Dancers and Singers,Vanguard,"33 1/3 RPM - 12"""
Songs of the Sabras,VRS 9069,,Karmon Israeli Folk Dancers and Singers,Vanguard,"33 1/3 RPM - 12"""
Songs of the Sacred Book,T-67,,Cantor Allan Michelson,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs of the Sephardic Heritage,TP 72,,Cantor David Abikzer,TARA Publications,"33 1/3 RPM - 12"""
"Songs of the Sephardim, A Coat of Many Colors, Volume II",Mn-3,,Voice of the Turtle,MneMosyne Records,"33 1/3 RPM - 12"""
"Songs of the Sephardim, Small Miracles, Volume III",Mn-7,,Voice of the Turtle,MneMosyne Records,"33 1/3 RPM - 12"""
"Songs of the Sephardim, The Time of Singing is Come",Mn-1,,Voice of the Turtle,MneMosyne Records,"33 1/3 RPM - 12"""
"Songs of the Soul - Celebrating Life, Love, Prayer and Faith",,,Gideon Efrati,Private label,CD
Songs of the Spanish Jews,05472-77372-2,,Sepharad,BMG Music,CD
Songs of the Spirit,TYG-1974,,Temple Youth Group Choir of Congregation B'nai Jershurum,Private label,"33 1/3 RPM - 12"""
Songs of the Synagogue,GRC 80,,Cantor Moishe Bazian,Greater Recording Co.,"33 1/3 RPM - 12"""
Songs of the Vilna Ghetto,CBS-63345,,Various,CBS,Cassette tape
Songs of the Vilna Ghetto,S 63345,,Various,CBS,"33 1/3 RPM - 12"""
Songs of the War & Victory,S 63124,,Various,CBS,"33 1/3 RPM - 12"""
Songs of the Yom Kippur War,65907,,Various,CBS,"33 1/3 RPM - 12"""
Songs of the Yom Kippur War,BAN 14395,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of the Yom Kippur War - Vol. 2,BAN 14405,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of the Yom Kippur War - Volume 2,acum 2720,,Yoram Tehar Lev,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Then and Now,AN 44-06,,Nehama Hendel,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Today / Songs Composed by Shalom Hanoch,VZL 461/462,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Triumph,TR 5745,,Cantor Jerome B.Kopmar,Tambur Records,"33 1/3 RPM - 12"""
Songs of Yemen and Israel,VRS.9125,,Itamar,Vanguard,"33 1/3 RPM - 12"""
Songs of Yerushalayim,BAN 49-68,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Yesteryear / A Visit to Kibbutz Ayelet Hashahar,VZL 405/406,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs of Yitzhak Katznelson and the Gevatron Group,63034,,Osnat Paz,CBS,"33 1/3 RPM - 12"""
Songs of Youth,RPC 103,,Itzy Weinberger; Joy Bensinger,Rivka Records,"33 1/3 RPM - 12"""
Songs of Youth / Songs of a Quieter Mood,VZL 303/304,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs on a Narrow Bridge,,,Or Balev,Private label,CD
Songs She Likes Best,S63197,,Aliza Azikri,CBS,"33 1/3 RPM - 12"""
Songs Sung By Abraham (Lolik) Levy,VZL 511/512,,Abraham (Lolik) Levy,Vistas of Israel,"33 1/3 RPM - 12"""
Songs Sung by Rivka Zohar / Children's Songs of Israel,VZL 459/460,,Rivka Zohar; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs Sung By Shuli Natan - Songs Sung By Yehoram Gaon,VZL 509/510,,Yehoram Gaon,Vistas of Israel,"33 1/3 RPM - 12"""
Songs Sung in Hebrew,63845,,Aris San,CBS,8-track tape
Songs That Are Loved,,,Beni Elbaz,Koliphone,Cassette tape
Songs that I Remember,T 79,,Leah Israelit,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs That Made History / A Day in Gaza,VZL 363/364,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs to Jerusalem,WSD 5738,1978,Joshua Tenne,Windblown Music,"33 1/3 RPM - 12"""
Songs to Remember,201,,Henny Durmashkin,Star Records,"33 1/3 RPM - 12"""
Songs to Remember,LP-1002,,Chaim Towber (The Singing Poet),Private label,"33 1/3 RPM - 12"""
Songs to Remember [Ghetto Songs],T-46,,Sarah Fershko,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs to Sing at Your Seder,,,Cantor Sheldon F. Merel; Sharon Smith; Jonathan Marks; April Kassirer,The Music Lab,Cassette tape
Songs to sing with Babies,C707017,,Miss Jackie Weissman,Miss Jackie,Cassette tape
Songs Together,BAN14823,,Shlomo artzi; Zalil Machvan; Yigal Bashan; Edna Lev,Hed-Arzi,"33 1/3 RPM - 12"""
Songs We Love,,,unknown,Koliphone,Cassette tape
Sonia,A 67176 / B 67176,1929-12-06,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
Sonny Boy,23614 B / 23614 A,1946 -03-27,Al Jolson,Decca,"78 RPM - 10"""
Sonny Boy,4033,1928-08-20,Al Jolson,Brunswick,"78 RPM - 10"""
Sonny Boy,V-9001-A / V-9001-B,1928-11-13,Josef Shoengold,Victor - His Master's Voice,"78 RPM - 10"""
Sons of Safam,J40979,,Safam,Safam,"33 1/3 RPM - 12"""
Sons of Safam,JTC 40979,,Safam,Safam,Cassette tape
Sons of Safam,SF-40979,,Safam,Safam,CD
Sooner or Later,37206,1946-09-13,Dinah Shore,Columbia,"78 RPM - 10"""
Sophie Tucker - Her Latest And Greatest Spicy Songs,MG 20073,,Sophie Tucker,Mercury Publications,"33 1/3 RPM - 12"""
Sophie Tucker Bigger and Better Than Ever,MG 20267,,Sophie Tucker ; Ted Shapiro,Mercury Publications,"33 1/3 RPM - 12"""
Sorea Zdukos,Am 8004-A / Am 8004-B,1909-09,Josef Rosenblatt,Odeon,"78 RPM - 10"""
"Sorg Nit, Mama",67057-A / 67057-B,1926-04-13,Aaron Lebedeff,Brunswick,"78 RPM - 10"""
"Sorg Nit, Mama",B 13038 / A 13038,1926-04-13,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
Sorrento,ML 5258,,Richard Tucker,Columbia Masterworks,"33 1/3 RPM - 12"""
Sorry! I Just Don't Have the Time - An Adventure Story for Jewish Children,L.P. 401,,unknown,Y & Y Productions,"33 1/3 RPM - 12"""
Soul,,,Yehoram Gaon,NIV Records,Cassette tape
Soul Love,AHI-1,,Shmuel Achiezer,Sigma Disc,CD
Soul of a People,S/2050,,Gordon Jenkins & His Orchestra,Time Life records,"33 1/3 RPM - 12"""
Soul of a People,L 8287,,Bas Sheva,Capitol Records,"33 1/3 RPM - 10"""
Soul of a People,L 8287,,Bas Sheva,Capitol Classics,"33 1/3 RPM - 10"""
Soul of a People,S/6093,,Gordon Jenkins & His Orchestra,Mainstream Records,"33 1/3 RPM - 12"""
Soul of a People,BCD 1022,,Gordon Jenkins & His Orchestra,Time Life records,CD
Soul of a People,56093,,Gordon Jenkins & His Orchestra,Mainstream Records,"33 1/3 RPM - 12"""
Soul of a People,80012,,Gordon Jenkins,Ampex,8-track tape
Soul of a People,52050,,Gordon Jenkins,Time Life records,"33 1/3 RPM - 12"""
